Album Name,Artist,Release Date,Total Tracks,Song Name,Duration (ms),Explicit,Track Number,Lyrics,Tokenized Lyrics,Theme,Theme Count,Raw Theme,Raw Theme Count,Sentiment,Tokenized Sentiment,Album Theme
"Strangeways, Here We Come",The Smiths,1988-09-05,14,A Rush and a Push and the Land Is Ours,183013,False,1," Hello I am the ghost of Troubled Joe Hung by his pretty white neck Some eighteen months ago I travelled to a mystical time zone But I missed my bed So I soon came home    They said, ""There's too much caffeine in your bloodstream And a lack of real spice in your life"" I said, ""Leave me alone because I'm alright, dad Just surprised to still be on my own...""    Ooh, but don't mention love I'd hate the strain of the pain again    A rush and a push and the land that we stand on is ours It has been before, so it shall be again And people who are uglier than you and I They take what they need and just leave    Ooh, but don't mention love I'd hate the pain of the strain all over again You might also like  A rush and a push and the land that we stand on is ours It has been before, so why can't it be now? And people who are weaker than you and I They take what they want from life    Ooh, but don't mention love Nom, just don't mention love!    A rush and a push and the land that we stand on is ours Your youth may be gone, but you're still a young man So phone me, phone me, phone me So phone me, phone me, phone me  ","['Hello', 'ghost', 'Troubled', 'Joe', 'Hung', 'pretty', 'white', 'neck', 'eighteen', 'months', 'ago', 'travelled', 'mystical', 'time', 'zone', 'missed', 'bed', 'soon', 'came', 'home', 'said', ',', '``', ""'s"", 'much', 'caffeine', 'bloodstream', 'lack', 'real', 'spice', 'life', ""''"", 'said', ',', '``', 'Leave', 'alone', ""'m"", 'alright', ',', 'dad', 'surprised', 'still', '...', ""''"", 'Ooh', ',', ""n't"", 'mention', 'love', ""'d"", 'hate', 'strain', 'pain', 'rush', 'push', 'land', 'stand', ',', 'shall', 'people', 'uglier', 'take', 'need', 'leave', 'Ooh', ',', ""n't"", 'mention', 'love', ""'d"", 'hate', 'pain', 'strain', 'might', 'also', 'like', 'rush', 'push', 'land', 'stand', ',', 'ca', ""n't"", '?', 'people', 'weaker', 'take', 'want', 'life', 'Ooh', ',', ""n't"", 'mention', 'love', 'Nom', ',', ""n't"", 'mention', 'love', '!', 'rush', 'push', 'land', 'stand', 'youth', 'may', 'gone', ',', ""'re"", 'still', 'young', 'man', 'phone', ',', 'phone', ',', 'phone', 'phone', ',', 'phone', ',', 'phone']",Love,"{'Love': 4, 'Death': 0, 'Joy': 0, 'Sorrow': 3}",Love,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",-0.9943,-0.9852,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,I Started Something I Couldn't Finish,227533,False,2," The lanes were silent There was nothing, no one, nothing around for miles I doused our friendly venture With a hard-faced three-word gesture    I started something I forced you to a zone And you were clearly never meant to go Hair brushed and parted Typical me, typical me, typical me I started something and now I'm not too sure    I grabbed you by the guilded beams Oh, that's what tradition means And I doused another venture With a gesture that was absolutely vile    I started something I forced you to a zone And you were clearly never meant to go Hair brushed and parted Typical me, typical me, typical me I started something and now I'm not too sure You might also like  I grabbed you by the guilded beams Oh, that's what tradition means And now eighteen months' hard labour seems Fair enough   I started something And I forced you to a zone And you were clearly never meant to go Hair brushed and parted Typical me, typical me, typical me I started something and now I'm not too sure   I started something I started something Typical me, typical me, typical me, typical me, typical me, Typical me, typical me I started something and now I'm not too sure  ","['lanes', 'silent', 'nothing', ',', 'one', ',', 'nothing', 'around', 'miles', 'doused', 'friendly', 'venture', 'hard-faced', 'three-word', 'gesture', 'started', 'something', 'forced', 'zone', 'clearly', 'never', 'meant', 'go', 'Hair', 'brushed', 'parted', 'Typical', ',', 'typical', ',', 'typical', 'started', 'something', ""'m"", 'sure', 'grabbed', 'guilded', 'beams', 'Oh', ',', ""'s"", 'tradition', 'means', 'doused', 'another', 'venture', 'gesture', 'absolutely', 'vile', 'started', 'something', 'forced', 'zone', 'clearly', 'never', 'meant', 'go', 'Hair', 'brushed', 'parted', 'Typical', ',', 'typical', ',', 'typical', 'started', 'something', ""'m"", 'sure', 'might', 'also', 'like', 'grabbed', 'guilded', 'beams', 'Oh', ',', ""'s"", 'tradition', 'means', 'eighteen', 'months', ""'"", 'hard', 'labour', 'seems', 'Fair', 'enough', 'started', 'something', 'forced', 'zone', 'clearly', 'never', 'meant', 'go', 'Hair', 'brushed', 'parted', 'Typical', ',', 'typical', ',', 'typical', 'started', 'something', ""'m"", 'sure', 'started', 'something', 'started', 'something', 'Typical', ',', 'typical', ',', 'typical', ',', 'typical', ',', 'typical', ',', 'Typical', ',', 'typical', 'started', 'something', ""'m"", 'sure']",Love,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",Love,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",-0.5651,0.818,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,Death of a Disco Dancer,326253,False,3," The death of a disco dancer Well, it happens a lot 'round here And if you think peace is a common goal That goes to show how little you know    The death of a disco dancer Well, I'd rather not get involved I never talk to my neighbour I'd rather not get involved    (Oh-oh-oh-oh) (Oh-oh-oh-oh-oh)    Love, peace and harmony? Love, peace and harmony? Oh, very nice, very nice Very nice, very nice But maybe in the next world Love, peace and harmony? Love, peace and harmony? Oh, very nice, very nice Very nice, very nice, very nice But maybe in the next world, maybe in the next world Maybe in the next world Love, peace and harmony? Love, peace and harmony? Oh, very nice, very nice, very nice But maybe in the next world Maybe in the next world You might also like  (The next world, the next world) (The next world, the next world) The next world, the next world Oh-oh-oh-ah The death of a disco dancer The death of a disco dancer The death of a disco dancer  ","['death', 'disco', 'dancer', 'Well', ',', 'happens', 'lot', ""'round"", 'think', 'peace', 'common', 'goal', 'goes', 'show', 'little', 'know', 'death', 'disco', 'dancer', 'Well', ',', ""'d"", 'rather', 'get', 'involved', 'never', 'talk', 'neighbour', ""'d"", 'rather', 'get', 'involved', '(', 'Oh-oh-oh-oh', ')', '(', 'Oh-oh-oh-oh-oh', ')', 'Love', ',', 'peace', 'harmony', '?', 'Love', ',', 'peace', 'harmony', '?', 'Oh', ',', 'nice', ',', 'nice', 'nice', ',', 'nice', 'maybe', 'next', 'world', 'Love', ',', 'peace', 'harmony', '?', 'Love', ',', 'peace', 'harmony', '?', 'Oh', ',', 'nice', ',', 'nice', 'nice', ',', 'nice', ',', 'nice', 'maybe', 'next', 'world', ',', 'maybe', 'next', 'world', 'Maybe', 'next', 'world', 'Love', ',', 'peace', 'harmony', '?', 'Love', ',', 'peace', 'harmony', '?', 'Oh', ',', 'nice', ',', 'nice', ',', 'nice', 'maybe', 'next', 'world', 'Maybe', 'next', 'world', 'might', 'also', 'like', '(', 'next', 'world', ',', 'next', 'world', ')', '(', 'next', 'world', ',', 'next', 'world', ')', 'next', 'world', ',', 'next', 'world', 'Oh-oh-oh-ah', 'death', 'disco', 'dancer', 'death', 'disco', 'dancer', 'death', 'disco', 'dancer']",Love,"{'Love': 6, 'Death': 5, 'Joy': 0, 'Sorrow': 0}",Death,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",0.9986,0.9978,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,Girlfriend in a Coma,122760,False,4," Girlfriend in a coma, I know I know, it's serious Girlfriend in a coma, I know I know, it's really serious    There were times When I could have ""murdered"" her But you know, I would hate anything To happen to her No, I don't want to see her    Do you really think she'll pull through? Do you really think she'll pull through? Do    Girlfriend in a coma, I know I know, it's serious My, my, my, my, my My baby, goodbye    There were times When I could have strangled her But you know, I would hate anything To happen to her Would you please let me see her? You might also like  Do you really think she'll pull through? Do you really think she'll pull through? Do  ","['Girlfriend', 'coma', ',', 'know', 'know', ',', ""'s"", 'serious', 'Girlfriend', 'coma', ',', 'know', 'know', ',', ""'s"", 'really', 'serious', 'times', 'could', '``', 'murdered', ""''"", 'know', ',', 'would', 'hate', 'anything', 'happen', ',', ""n't"", 'want', 'see', 'really', 'think', ""'ll"", 'pull', '?', 'really', 'think', ""'ll"", 'pull', '?', 'Girlfriend', 'coma', ',', 'know', 'know', ',', ""'s"", 'serious', ',', ',', ',', ',', 'baby', ',', 'goodbye', 'times', 'could', 'strangled', 'know', ',', 'would', 'hate', 'anything', 'happen', 'Would', 'please', 'let', 'see', '?', 'might', 'also', 'like', 'really', 'think', ""'ll"", 'pull', '?', 'really', 'think', ""'ll"", 'pull', '?']",Sorrow,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 1}",Sorrow,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",-0.948,-0.942,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,Stop Me If You Think You've Heard This One Before,215573,False,5," Stop me, oh-oho, stop me Stop me if you think that you've heard this one before Stop me, oh-oho, stop me Stop me if you think that you've heard this one before Nothing's changed I still love you, oh, I still love you Only slightly, only slightly less Than I used to, my love    I was delayed, I was waylaid An emergency stop I smelt the last ten seconds of life I crashed down on the crossbar And the pain was enough to make A shy, bald, Buddhist reflect And plan a mass murder Who said I'd lied to her? Oh, who said I'd lied because I never? I never! Who said I'd lied because I never?    I was detained, I was restrained And broke my spleen And broke my knee And then he really laced into me Friday night in Out-patients Who said I'd lied to her? Oh, who said I'd lied? Because I never, I never Who said I'd lied? Because I never And so I drank one It became four And when I fell on the floor I drank more You might also like","['Stop', ',', 'oh-oho', ',', 'stop', 'Stop', 'think', ""'ve"", 'heard', 'one', 'Stop', ',', 'oh-oho', ',', 'stop', 'Stop', 'think', ""'ve"", 'heard', 'one', 'Nothing', ""'s"", 'changed', 'still', 'love', ',', 'oh', ',', 'still', 'love', 'slightly', ',', 'slightly', 'less', 'used', ',', 'love', 'delayed', ',', 'waylaid', 'emergency', 'stop', 'smelt', 'last', 'ten', 'seconds', 'life', 'crashed', 'crossbar', 'pain', 'enough', 'make', 'shy', ',', 'bald', ',', 'Buddhist', 'reflect', 'plan', 'mass', 'murder', 'said', ""'d"", 'lied', '?', 'Oh', ',', 'said', ""'d"", 'lied', 'never', '?', 'never', '!', 'said', ""'d"", 'lied', 'never', '?', 'detained', ',', 'restrained', 'broke', 'spleen', 'broke', 'knee', 'really', 'laced', 'Friday', 'night', 'Out-patients', 'said', ""'d"", 'lied', '?', 'Oh', ',', 'said', ""'d"", 'lied', '?', 'never', ',', 'never', 'said', ""'d"", 'lied', '?', 'never', 'drank', 'one', 'became', 'four', 'fell', 'floor', 'drank', 'might', 'also', 'like']",Love,"{'Love': 3, 'Death': 0, 'Joy': 0, 'Sorrow': 1}",Love,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",-0.9818,-0.9763,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,Last Night I Dreamt That Somebody Loved Me,305600,False,6," Coal miner strikers yell    Last night I dreamt That somebody loved me No hope, no harm Just another false alarm Last night I felt Real arms around me No hope, no harm Just another false alarm    So tell me how long Before the last one And tell me how long Before the right one    This story is old, I know But it goes on This story is old, I know But it goes on  ","['Coal', 'miner', 'strikers', 'yell', 'Last', 'night', 'dreamt', 'somebody', 'loved', 'hope', ',', 'harm', 'another', 'false', 'alarm', 'Last', 'night', 'felt', 'Real', 'arms', 'around', 'hope', ',', 'harm', 'another', 'false', 'alarm', 'tell', 'long', 'last', 'one', 'tell', 'long', 'right', 'one', 'story', 'old', ',', 'know', 'goes', 'story', 'old', ',', 'know', 'goes']",Love,"{'Love': 1, 'Death': 0, 'Joy': 0, 'Sorrow': 1}",Love,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",0.2691,-0.4019,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,Unhappy Birthday,165186,False,7," I've come to wish you an unhappy birthday I've come to wish you an unhappy birthday Cause you're evil And you lie And if you should die I may feel slightly sad (But I won't cry) Loved and lost And some may say When usually it's nothing Surely you're happy It should be this way?    I say ""No, I'm gonna kill my dog"" And ""May the lines sag, may the lines sag heavy and deep tonight""    I've come to wish you an unhappy birthday I've come to wish you an unhappy birthday Cause you're evil And you lie And if you should die I may feel slightly sad (But I won't cry) Loved and lost And some may say When usually it's Nothing Surely you're happy It should be this way? You might also like  I said ""No"" And then I shot myself So, drink, drink, drink And be ill tonight  ","[""'ve"", 'come', 'wish', 'unhappy', 'birthday', ""'ve"", 'come', 'wish', 'unhappy', 'birthday', 'Cause', ""'re"", 'evil', 'lie', 'die', 'may', 'feel', 'slightly', 'sad', '(', 'wo', ""n't"", 'cry', ')', 'Loved', 'lost', 'may', 'say', 'usually', ""'s"", 'nothing', 'Surely', ""'re"", 'happy', 'way', '?', 'say', '``', ',', ""'m"", 'gon', 'na', 'kill', 'dog', ""''"", '``', 'May', 'lines', 'sag', ',', 'may', 'lines', 'sag', 'heavy', 'deep', 'tonight', ""''"", ""'ve"", 'come', 'wish', 'unhappy', 'birthday', ""'ve"", 'come', 'wish', 'unhappy', 'birthday', 'Cause', ""'re"", 'evil', 'lie', 'die', 'may', 'feel', 'slightly', 'sad', '(', 'wo', ""n't"", 'cry', ')', 'Loved', 'lost', 'may', 'say', 'usually', ""'s"", 'Nothing', 'Surely', ""'re"", 'happy', 'way', '?', 'might', 'also', 'like', 'said', '``', ""''"", 'shot', ',', 'drink', ',', 'drink', ',', 'drink', 'ill', 'tonight']",Sorrow,"{'Love': 2, 'Death': 2, 'Joy': 2, 'Sorrow': 6}",Sorrow,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",-0.9951,-0.9926,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,Paint a Vulgar Picture,336093,False,8," At the record company meeting On their hands, a dead star And, oh, the plans they weave And, oh, the sickening greed    At the record company party On their hands, a dead star The sycophantic slags all say ""I knew him first, and I knew him well"" Re-issue, re-package, re-package Re-evaluate the songs Double pack with a photograph Extra track and a tacky badge    A-list, playlist ""Please them, please them, please them"" Sadly, this was your life But you could have said no if you'd wanted to You could have said no if you'd wanted to BPI, MTV, BBC ""Please them, please them"" Sadly, this was your life But you could have said no if you'd wanted to You could have walked away, couldn't you? You might also like  I touched you at the soundcheck You had no real way of knowing In my heart, I begged ""Take me with you I don't care where you're going"" But to you, I was faceless, I was fawning, I was boring A child from those ugly new houses Who could never begin to know Who could never really know      Best of, most of, satiate the need Slip them into different sleeves Buy both, and feel deceived Climber, new entry, re-entry World tour, ""Media whore"" ""Please the Press in Belgium!"" This was your life And when it fails to recoup? Well, maybe You just haven't earned it yet, baby    I walked a pace behind you at the soundcheck You're just the same as I am What makes most people feel happy Leads us headlong into harm So, in my bedroom in those ""ugly new houses"" I danced my legs down to the knees But me and my ""true love"" We will never meet again   At the record company meeting On their hands, at last, a dead star But they can never taint you in my eyes They can never touch you now No, they cannot hurt you, my darling They cannot touch you now But me and my ""true love"" Will never meet again, uh  ","['record', 'company', 'meeting', 'hands', ',', 'dead', 'star', ',', 'oh', ',', 'plans', 'weave', ',', 'oh', ',', 'sickening', 'greed', 'record', 'company', 'party', 'hands', ',', 'dead', 'star', 'sycophantic', 'slags', 'say', '``', 'knew', 'first', ',', 'knew', 'well', ""''"", 'Re-issue', ',', 're-package', ',', 're-package', 'Re-evaluate', 'songs', 'Double', 'pack', 'photograph', 'Extra', 'track', 'tacky', 'badge', 'A-list', ',', 'playlist', '``', 'Please', ',', 'please', ',', 'please', ""''"", 'Sadly', ',', 'life', 'could', 'said', ""'d"", 'wanted', 'could', 'said', ""'d"", 'wanted', 'BPI', ',', 'MTV', ',', 'BBC', '``', 'Please', ',', 'please', ""''"", 'Sadly', ',', 'life', 'could', 'said', ""'d"", 'wanted', 'could', 'walked', 'away', ',', 'could', ""n't"", '?', 'might', 'also', 'like', 'touched', 'soundcheck', 'real', 'way', 'knowing', 'heart', ',', 'begged', '``', 'Take', ""n't"", 'care', ""'re"", 'going', ""''"", ',', 'faceless', ',', 'fawning', ',', 'boring', 'child', 'ugly', 'new', 'houses', 'could', 'never', 'begin', 'know', 'could', 'never', 'really', 'know', 'Best', ',', ',', 'satiate', 'need', 'Slip', 'different', 'sleeves', 'Buy', ',', 'feel', 'deceived', 'Climber', ',', 'new', 'entry', ',', 're-entry', 'World', 'tour', ',', '``', 'Media', 'whore', ""''"", '``', 'Please', 'Press', 'Belgium', '!', ""''"", 'life', 'fails', 'recoup', '?', 'Well', ',', 'maybe', ""n't"", 'earned', 'yet', ',', 'baby', 'walked', 'pace', 'behind', 'soundcheck', ""'re"", 'makes', 'people', 'feel', 'happy', 'Leads', 'us', 'headlong', 'harm', ',', 'bedroom', '``', 'ugly', 'new', 'houses', ""''"", 'danced', 'legs', 'knees', '``', 'true', 'love', ""''"", 'never', 'meet', 'record', 'company', 'meeting', 'hands', ',', 'last', ',', 'dead', 'star', 'never', 'taint', 'eyes', 'never', 'touch', ',', 'hurt', ',', 'darling', 'touch', '``', 'true', 'love', ""''"", 'never', 'meet', ',', 'uh']",Sorrow,"{'Love': 5, 'Death': 3, 'Joy': 1, 'Sorrow': 8}",Sorrow,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",-0.8292,-0.7334,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,Death at One's Elbow,120026,False,9,"Oh, Glenn, don't come to the house tonight Oh, Glenn, oh, Glenn Don't come to the house tonight Oh Glenn Because there's somebody here who really, really loves you Oh, Glenn, stay home Be bored, It's crap, I know Tonight Oh, Glenn, oh, Glenn Don't come to the house tonight Oh, Glenn, oh, Glenn Don't come to the house tonight Because there's somebody here Who'll take a hatchet to your ear  The frustration it renders me hateful, oh... Oh, don't come to the house tonight Oh, don't come to the house tonight Because you'll slip on the trail of all my sad remains That's why, that's why goodbye my love, goodbye my love Goodbye my love, goodbye my love Goodbye my love, goodbye my love Goodbye my love, goodbye my loveYou might also like2","['Oh', ',', 'Glenn', ',', ""n't"", 'come', 'house', 'tonight', 'Oh', ',', 'Glenn', ',', 'oh', ',', 'Glenn', ""n't"", 'come', 'house', 'tonight', 'Oh', 'Glenn', ""'s"", 'somebody', 'really', ',', 'really', 'loves', 'Oh', ',', 'Glenn', ',', 'stay', 'home', 'bored', ',', ""'s"", 'crap', ',', 'know', 'Tonight', 'Oh', ',', 'Glenn', ',', 'oh', ',', 'Glenn', ""n't"", 'come', 'house', 'tonight', 'Oh', ',', 'Glenn', ',', 'oh', ',', 'Glenn', ""n't"", 'come', 'house', 'tonight', ""'s"", 'somebody', ""'ll"", 'take', 'hatchet', 'ear', 'frustration', 'renders', 'hateful', ',', 'oh', '...', 'Oh', ',', ""n't"", 'come', 'house', 'tonight', 'Oh', ',', ""n't"", 'come', 'house', 'tonight', ""'ll"", 'slip', 'trail', 'sad', 'remains', ""'s"", ',', ""'s"", 'goodbye', 'love', ',', 'goodbye', 'love', 'Goodbye', 'love', ',', 'goodbye', 'love', 'Goodbye', 'love', ',', 'goodbye', 'love', 'Goodbye', 'love', ',', 'goodbye', 'loveYou', 'might', 'also', 'like2']",Love,"{'Love': 7, 'Death': 0, 'Joy': 0, 'Sorrow': 1}",Love,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",0.9738,0.9737,Love
"Strangeways, Here We Come",The Smiths,1988-09-05,14,I Won't Share You,173560,False,10," I won't share you, no I won't share you With the drive And ambition The zeal I feel This is my time    The note I wrote As she read, she said ""Has the Perrier gone Straight to my head Or is life sick and cruel, instead?"" ""Yes!"" No - no - no - no - no - no No - no - no - no - no - no Oh...    I won't share you, no I won't share you With the drive And the dreams inside This is my time You might also like  Life tends to come and go That's okay As long as you know Life tends to come and go As long as you know Know, know, know, know, know Know, know, know, know Oh...    I won't share you, no I won't share you With the drive And the dreams inside This is my time    I want the freedom and I want the guile I want the freedom and the guile Oh, life tends to come and go As long as you know Know, know, know, know Know, know, know, know Oh... ","['wo', ""n't"", 'share', ',', 'wo', ""n't"", 'share', 'drive', 'ambition', 'zeal', 'feel', 'time', 'note', 'wrote', 'read', ',', 'said', '``', 'Perrier', 'gone', 'Straight', 'head', 'life', 'sick', 'cruel', ',', 'instead', '?', ""''"", '``', 'Yes', '!', ""''"", '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', 'Oh', '...', 'wo', ""n't"", 'share', ',', 'wo', ""n't"", 'share', 'drive', 'dreams', 'inside', 'time', 'might', 'also', 'like', 'Life', 'tends', 'come', 'go', ""'s"", 'okay', 'long', 'know', 'Life', 'tends', 'come', 'go', 'long', 'know', 'Know', ',', 'know', ',', 'know', ',', 'know', ',', 'know', 'Know', ',', 'know', ',', 'know', ',', 'know', 'Oh', '...', 'wo', ""n't"", 'share', ',', 'wo', ""n't"", 'share', 'drive', 'dreams', 'inside', 'time', 'want', 'freedom', 'want', 'guile', 'want', 'freedom', 'guile', 'Oh', ',', 'life', 'tends', 'come', 'go', 'long', 'know', 'Know', ',', 'know', ',', 'know', ',', 'know', 'Know', ',', 'know', ',', 'know', ',', 'know', 'Oh', '...']",Sorrow,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 1}",Sorrow,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",0.9744,-0.2349,Love
The Queen Is Dead,The Smiths,1987-09-28,10,The Queen Is Dead,387146,False,1," ""Oh, take me back to dear old Blighty Put me on the train for London Town Take me anywhere, drop me anywhere In Liverpool, Leeds or Birmingham, but I don't care I should like to see—""       (I don't bless them) Farewell to this land's cheerless marshes Hemmed in like a boar between archers Her very lowness with her head in a sling I'm truly sorry, but it sounds like a wonderful thing I say, Charles, don't you ever crave To appear on the front of the Daily Mail Dressed in your mother's bridal veil? (Oh-oh-oh-oh, oh-oh-oh-oh-oh-oh)    And so I checked all the registered historical facts And I was shocked into shame to discover How I'm the eighteenth pale descendent Of some old queen or other Oh, has the world changed or have I changed? Oh, has the world changed or have I changed? Some nine year old tough who peddles drugs I swear to God, I swear I never even knew what drugs were (Oh-oh-oh-oh, oh-oh-oh-oh-oh-oh) You might also like  So I broke into the Palace With a sponge and a rusty spanner She said, ""'Ey, I know you, and you cannot sing"" I said, ""That's nothing, you should hear me play piano"" We can go for a walk where it's quiet and dry And talk about precious things But when you are tied to your mother's apron No one talks about castration (Oh-oh-oh-oh, oh-oh-oh-oh-oh)    We can go for a walk where it's quiet and dry And talk about precious things Like love and law and poverty, oh-oh-oh, oh-oh-oh (These are the things that kill me) We can go for a walk where it's quiet and dry And talk about precious things But the rain that flattens my hair, oh-oh-oh (These are the things that kill me) All their lies about makeup and long hair are still there    Past the pub that saps your body And the church who'll snatch your money The Queen is dead, boys And it's so lonely on a limb Pass the pub that wrecks your body And the church, all they want is your money The Queen is dead, boys And it's so lonely on a limb   Life is very long when you're lonely Life is very long when you're lonely Life is very long when you're lonely Life is very long when you're lonely  ","['``', 'Oh', ',', 'take', 'back', 'dear', 'old', 'Blighty', 'Put', 'train', 'London', 'Town', 'Take', 'anywhere', ',', 'drop', 'anywhere', 'Liverpool', ',', 'Leeds', 'Birmingham', ',', ""n't"", 'care', 'like', 'see—', ""''"", '(', ""n't"", 'bless', ')', 'Farewell', 'land', ""'s"", 'cheerless', 'marshes', 'Hemmed', 'like', 'boar', 'archers', 'lowness', 'head', 'sling', ""'m"", 'truly', 'sorry', ',', 'sounds', 'like', 'wonderful', 'thing', 'say', ',', 'Charles', ',', ""n't"", 'ever', 'crave', 'appear', 'front', 'Daily', 'Mail', 'Dressed', 'mother', ""'s"", 'bridal', 'veil', '?', '(', 'Oh-oh-oh-oh', ',', 'oh-oh-oh-oh-oh-oh', ')', 'checked', 'registered', 'historical', 'facts', 'shocked', 'shame', 'discover', ""'m"", 'eighteenth', 'pale', 'descendent', 'old', 'queen', 'Oh', ',', 'world', 'changed', 'changed', '?', 'Oh', ',', 'world', 'changed', 'changed', '?', 'nine', 'year', 'old', 'tough', 'peddles', 'drugs', 'swear', 'God', ',', 'swear', 'never', 'even', 'knew', 'drugs', '(', 'Oh-oh-oh-oh', ',', 'oh-oh-oh-oh-oh-oh', ')', 'might', 'also', 'like', 'broke', 'Palace', 'sponge', 'rusty', 'spanner', 'said', ',', '``', ""'Ey"", ',', 'know', ',', 'sing', ""''"", 'said', ',', '``', ""'s"", 'nothing', ',', 'hear', 'play', 'piano', ""''"", 'go', 'walk', ""'s"", 'quiet', 'dry', 'talk', 'precious', 'things', 'tied', 'mother', ""'s"", 'apron', 'one', 'talks', 'castration', '(', 'Oh-oh-oh-oh', ',', 'oh-oh-oh-oh-oh', ')', 'go', 'walk', ""'s"", 'quiet', 'dry', 'talk', 'precious', 'things', 'Like', 'love', 'law', 'poverty', ',', 'oh-oh-oh', ',', 'oh-oh-oh', '(', 'things', 'kill', ')', 'go', 'walk', ""'s"", 'quiet', 'dry', 'talk', 'precious', 'things', 'rain', 'flattens', 'hair', ',', 'oh-oh-oh', '(', 'things', 'kill', ')', 'lies', 'makeup', 'long', 'hair', 'still', 'Past', 'pub', 'saps', 'body', 'church', ""'ll"", 'snatch', 'money', 'Queen', 'dead', ',', 'boys', ""'s"", 'lonely', 'limb', 'Pass', 'pub', 'wrecks', 'body', 'church', ',', 'want', 'money', 'Queen', 'dead', ',', 'boys', ""'s"", 'lonely', 'limb', 'Life', 'long', ""'re"", 'lonely', 'Life', 'long', ""'re"", 'lonely', 'Life', 'long', ""'re"", 'lonely', 'Life', 'long', ""'re"", 'lonely']",Sorrow,"{'Love': 2, 'Death': 3, 'Joy': 0, 'Sorrow': 6}",Sorrow,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",-0.9883,-0.9784,Love
The Queen Is Dead,The Smiths,1987-09-28,10,"Frankly, Mr. Shankly",138813,False,2," Frankly, Mr. Shankly, this position I've held It pays my way, and it corrodes my soul I want to leave, you will not miss me I want to go down in musical history Frankly, Mr. Shankly, I'm a sickening wreck I've got the twenty-first century breathing down my neck I must move fast, you understand me I want to go down in celluloid history, Mr. Shankly       Fame, fame, fatal fame It can play hideous tricks on the brain But still I'd rather be famous than righteous or holy Any day, any day, any day But sometimes I'd feel more fulfilled Making Christmas cards with the mentally ill I want to live and I want to love I want to catch something that I might be ashamed of  ","['Frankly', ',', 'Mr.', 'Shankly', ',', 'position', ""'ve"", 'held', 'pays', 'way', ',', 'corrodes', 'soul', 'want', 'leave', ',', 'miss', 'want', 'go', 'musical', 'history', 'Frankly', ',', 'Mr.', 'Shankly', ',', ""'m"", 'sickening', 'wreck', ""'ve"", 'got', 'twenty-first', 'century', 'breathing', 'neck', 'must', 'move', 'fast', ',', 'understand', 'want', 'go', 'celluloid', 'history', ',', 'Mr.', 'Shankly', 'Fame', ',', 'fame', ',', 'fatal', 'fame', 'play', 'hideous', 'tricks', 'brain', 'still', ""'d"", 'rather', 'famous', 'righteous', 'holy', 'day', ',', 'day', ',', 'day', 'sometimes', ""'d"", 'feel', 'fulfilled', 'Making', 'Christmas', 'cards', 'mentally', 'ill', 'want', 'live', 'want', 'love', 'want', 'catch', 'something', 'might', 'ashamed']",Love,"{'Love': 1, 'Death': 1, 'Joy': 0, 'Sorrow': 1}",Love,"{'Love': 0, 'Death': 0, 'Joy': 0, 'Sorrow': 0}",0.7106,0.4404,Love
